               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.034499,            0.024019,           0.0081608,             0.78478,             0.83333,             0.78563,             0.51877,            0.016726,            0.010062,           0.0043055,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032123,            0.028327,           0.0087154,             0.79423,             0.82463,             0.77349,             0.39838,            0.026294,            0.011595,           0.0031713,            0.007624,            0.007624,            0.007624
                  50,            0.033126,            0.021839,           0.0076347,             0.70561,             0.79726,             0.76327,             0.49208,            0.021559,            0.012018,           0.0026285,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030424,             0.02532,           0.0084973,             0.80925,             0.90933,              0.7691,             0.45796,            0.017705,            0.012104,            0.002091,            0.007525,            0.007525,            0.007525
                  52,            0.031468,            0.023756,           0.0069313,             0.71854,             0.83333,             0.74329,             0.42905,            0.018011,            0.013058,           0.0024197,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029974,            0.025063,           0.0068673,             0.59853,             0.76423,             0.70234,             0.35332,            0.029015,            0.012939,           0.0033824,            0.007426,            0.007426,            0.007426
                  54,            0.035574,            0.024579,           0.0068618,             0.77552,             0.65002,             0.66182,             0.44437,            0.016856,            0.013664,            0.003202,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030903,            0.024002,           0.0081569,             0.75875,             0.80976,             0.76438,             0.48193,            0.024275,            0.012051,           0.0014874,            0.007327,            0.007327,            0.007327
                  56,            0.033667,            0.023152,           0.0066203,             0.67138,             0.80889,             0.69851,             0.44266,              0.0252,            0.012617,           0.0016029,           0.0072775,           0.0072775,           0.0072775
                  57,            0.028577,            0.022629,           0.0063369,             0.51247,             0.83333,             0.61861,             0.40329,             0.02052,            0.012602,           0.0018179,            0.007228,            0.007228,            0.007228
                  58,             0.03249,            0.024194,            0.008607,             0.78059,             0.82708,             0.73408,             0.45929,            0.017011,            0.013528,           0.0019142,           0.0071785,           0.0071785,           0.0071785
                  59,            0.031076,               0.026,           0.0091108,             0.81891,             0.72788,             0.73647,             0.47854,            0.016685,            0.013107,           0.0024237,            0.007129,            0.007129,            0.007129
                  60,            0.031286,            0.021487,           0.0067934,             0.70443,             0.83333,             0.73013,             0.39894,            0.024209,            0.012795,            0.002117,           0.0070795,           0.0070795,           0.0070795
                  61,            0.032019,            0.024608,           0.0070664,             0.78514,             0.65961,               0.719,             0.40181,            0.021707,            0.011623,           0.0024419,             0.00703,             0.00703,             0.00703
                  62,             0.03284,             0.02268,           0.0092355,             0.63533,             0.88174,             0.76594,             0.49229,            0.014184,            0.011692,           0.0037957,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029197,            0.022947,           0.0091493,             0.59237,             0.70404,             0.60642,             0.31648,            0.024457,            0.015018,           0.0018003,            0.006931,            0.006931,            0.006931
                  64,            0.029802,            0.022378,           0.0082417,             0.61484,             0.83333,             0.76783,              0.4889,            0.017505,            0.013095,           0.0014498,           0.0068815,           0.0068815,           0.0068815
                  65,            0.028277,            0.022973,           0.0073777,             0.88251,             0.72839,             0.83948,             0.49094,            0.018096,            0.011761,           0.0013629,            0.006832,            0.006832,            0.006832
                  66,             0.03054,            0.022897,            0.007696,             0.74335,             0.77898,             0.75239,             0.45079,            0.019983,            0.013831,           0.0026492,           0.0067825,           0.0067825,           0.0067825
                  67,            0.029673,            0.022562,           0.0066419,             0.59986,             0.62292,             0.67002,             0.33913,             0.02121,            0.015754,           0.0019442,            0.006733,            0.006733,            0.006733
                  68,               0.029,            0.022437,           0.0067637,             0.67967,              0.7288,             0.70969,             0.33088,            0.022521,            0.014613,           0.0013814,           0.0066835,           0.0066835,           0.0066835
                  69,            0.025565,            0.022671,           0.0061683,             0.59627,             0.92544,              0.7335,             0.39896,            0.025561,            0.012152,           0.0008555,            0.006634,            0.006634,            0.006634
                  70,            0.033532,             0.02014,           0.0075235,             0.77727,             0.97137,             0.85667,             0.57916,            0.016493,            0.011347,          0.00091589,           0.0065845,           0.0065845,           0.0065845
                  71,            0.025486,            0.022878,           0.0067296,             0.76068,              0.8214,             0.79345,             0.44901,            0.024559,            0.012695,           0.0011892,            0.006535,            0.006535,            0.006535
                  72,            0.029761,            0.022507,           0.0070976,             0.76028,             0.95757,             0.87042,             0.61128,            0.016622,            0.011618,           0.0012555,           0.0064855,           0.0064855,           0.0064855
                  73,            0.025548,            0.022316,           0.0060235,             0.77899,             0.97457,             0.90107,              0.6339,            0.017534,            0.010532,           0.0012443,            0.006436,            0.006436,            0.006436
                  74,            0.027679,            0.021044,           0.0063577,             0.86221,             0.99118,              0.9125,             0.61248,            0.017494,             0.01065,           0.0011011,           0.0063865,           0.0063865,           0.0063865
                  75,             0.02535,            0.023564,           0.0045753,             0.86346,             0.99246,              0.9125,             0.60228,            0.022368,            0.011769,          0.00098889,            0.006337,            0.006337,            0.006337
                  76,            0.030944,            0.022395,           0.0086475,             0.86617,             0.99839,             0.96083,             0.65739,            0.017367,            0.010454,          0.00099772,           0.0062875,           0.0062875,           0.0062875
                  77,            0.026067,            0.021774,           0.0049145,              0.8721,                   1,             0.98357,              0.6883,            0.015322,            0.010309,           0.0008996,            0.006238,            0.006238,            0.006238
                  78,            0.029478,            0.023593,           0.0055844,             0.91123,             0.99859,             0.98357,             0.57454,            0.024909,            0.010076,          0.00087025,           0.0061885,           0.0061885,           0.0061885
                  79,            0.027295,            0.023415,           0.0068391,             0.90391,             0.91667,             0.94667,             0.65633,            0.018115,             0.01054,           0.0008244,            0.006139,            0.006139,            0.006139
                  80,            0.027602,            0.023209,           0.0052203,                   1,             0.88765,             0.98357,             0.75585,            0.016313,            0.010163,          0.00088175,           0.0060895,           0.0060895,           0.0060895
                  81,            0.024495,            0.021453,           0.0043362,             0.81449,             0.85398,             0.89952,             0.61736,            0.019625,            0.010325,           0.0011322,             0.00604,             0.00604,             0.00604
                  82,            0.027389,            0.023066,           0.0051948,             0.90224,             0.90439,                0.94,             0.61479,            0.014656,            0.010209,           0.0016173,           0.0059905,           0.0059905,           0.0059905
